Listing Title,Airbnb URL,Listing ID,Estimated Rental Revenue (Range),Estimated Rental Revenue (Median),Estimated ADR,Estimated Adjusted Occupancy,Active days,Booking Window,Length of Stay,Dynamic Pricing,Min Stay,Professionally Managed,Bathrooms,Max Guests,Listed Price,Listing Type,Is Active,Economic Category,Blocked Days,Rating,Reviews,Beachfront,Hot Tub,EV Charger,Kitchen,Pool,Pets Allowed,Smoking Allowed,Air Conditioning,Cleaning Fee,Guest Favorite,Host ID,Cancellation Policy
"Chic One Bedroom Home","https://www.airbnb.com/rooms/1445038267968237243","1445038267968237243","3488-4616","4163","143.55","37","78","N/A","29","High","28","Moderate","1.0","2","159","Entire rental unit","Yes","Midscale","190","5","1","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","5988339","Flexible"
"Downtown Yorkville-Extended Stay-Executive 1BR","https://www.airbnb.com/rooms/1585916322290576155","1585916322290576155","3496-5251","4437","98.6","59","76","13","17","Moderate","28","Small","1.0","2","116","Entire rental unit","Yes","Midscale","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","211194468","Flexible"
"Elite Midtown Condo For Premium Monthly Stays","https://www.airbnb.com/rooms/1566421058515954583","1566421058515954583","3467-5194","4444","92.58","53","91","10","29","High","28","Small","1.0","3","112","Entire condo","Yes","Midscale","N/A","5","1","No","No","No","Yes","Yes","No","No","Yes","N/A","N/A","84153188","Flexible"
"Cozy 1 Bedroom Bsmt Retreat Yorkville Annex U Of T","https://www.airbnb.com/rooms/1390890852331117687","1390890852331117687","3409-5176","4464","73.18","86","71","23","31","High","28","Small","1.0","3","97","Entire rental unit","Yes","Midscale","143","5","2","No","No","No","Yes","No","Yes","No","Yes","N/A","N/A","654242007","Flexible"
"Midtown Pied At Terre","https://www.airbnb.com/rooms/897046461202411287","897046461202411287","3436-5454","4492","67.05","66","102","34","23","Moderate","28","Small","1.0","2","87","Entire rental unit","Yes","Midscale","264","4.8","5","No","No","No","Yes","No","No","No","No","36.0","N/A","90793169","Flexible"
"Downtown Spacious Attic Floor 3","https://www.airbnb.com/rooms/1400299238602105887","1400299238602105887","3602-5638","4658","47.53","39","254","49","26","None","30","Small","1.0","1","70","Entire home","Yes","Economy","67","5","1","No","No","No","Yes","No","No","No","Yes","N/A","N/A","670800536","Flexible"
"Brand New Luxury Basement Apartment In Forest Hill","https://www.airbnb.com/rooms/797733326177112332","797733326177112332","3590-5699","4685","69.93","92","73","60","37","Moderate","90","Small","1.0","3","105","Entire home","Yes","Midscale","293","5","5","No","No","No","Yes","No","No","No","No","108.0","1","443306346","Moderate"
"The Spacious Sinatra Suite Near Yorkville Village.","https://www.airbnb.com/rooms/1577199311852218846","1577199311852218846","3703-5561","4699","99.98","62","76","11","19","High","28","Individual","1.5","2","123","Entire home","Yes","Midscale","N/A","N/A","N/A","No","No","No","Yes","No","No","No","Yes","N/A","N/A","147048306","Limited"
"Private & Central  Apartment- Close To Downtown","https://www.airbnb.com/rooms/26276283","26276283","3933-5376","4757","58.73","55","146","101","30","Low","28","Small","1.0","1","85","Entire home","Yes","Midscale","220","5","32","No","No","No","Yes","No","No","No","No","82.0","1","136724699","Firm"
"Quiet, Comfortable 1br, Easy Access To Downtown","https://www.airbnb.com/rooms/34121346","34121346","4069-5765","4942","61.02","87","93","38","25","Moderate","28","Individual","1.0","2","71","Entire rental unit","Yes","Midscale","239","4.5","18","No","No","No","Yes","No","No","No","No","107.0","N/A","1400479","Firm"
